bumpiness,grade,target
0.639426798458,0.0993546246061,0.0
0.0250107552227,0.685680265481,0.0
0.275029318369,0.544465861482,0.0
0.223210738149,0.977842529452,1.0
0.736471214164,0.358673841212,1.0
0.676699487423,0.398139642744,1.0
0.892179567705,0.189808562161,1.0
0.0869388326294,0.122159719087,0.0
0.421921819685,0.848033188464,1.0
0.0297972194381,0.454717368571,0.0
0.218637974804,0.662768738062,0.0
0.505355288103,0.641704467233,1.0
0.0265359696839,0.59714595952,0.0
0.198837650687,0.0213574547364,0.0
0.64988443778,0.786794590455,1.0
0.544941480603,0.243568897164,0.0
0.220440622041,0.125923885308,0.0
0.589265683876,0.564577975908,1.0
0.809430456678,0.0686101528244,1.0
0.00649875967806,0.765157375889,0.0
0.805819251833,0.207157370347,1.0
0.698139394988,0.215951351919,1.0
0.340250516518,0.86969542677,1.0
0.155479499812,0.328559553432,0.0
0.957213072207,0.147554179941,1.0
0.336594545113,0.900531035632,1.0
0.0927458433801,0.00283555148002,0.0
0.0967163768335,0.85840612638,1.0
0.847494366347,0.144687980321,1.0
0.603726031367,0.129992131443,0.0
0.807128273274,0.250654196728,1.0
0.729731786694,0.174497120901,0.0
0.536228091455,0.661057642597,1.0
0.973115763979,0.0257801497862,1.0
0.378534377208,0.0148603272307,0.0
0.552040631273,0.789984664235,1.0
0.829404664253,0.23793160609,1.0
0.618519752364,0.323771461962,1.0
0.861706900311,0.174246201406,1.0
0.577352145257,0.0523990178612,0.0
0.704571836215,0.741718056954,1.0
0.0458243836557,0.526085526598,0.0
0.227898275652,0.745665275034,0.0
0.289387963602,0.476245965423,1.0
0.0797919769236,0.778017039314,0.0
0.232790886361,0.513237957609,0.0
0.10100142941,0.109054010004,0.0
0.27797360311,0.503838689786,1.0
0.635684444264,0.94541564297,1.0
0.36483217897,0.0433650368992,0.0
0.370180967117,0.78322699598,1.0
0.209507030771,0.86698090776,1.0
0.266977822049,0.521451214713,1.0
0.936654587712,0.458042522098,1.0
0.648035385247,0.964026183122,1.0
0.609131005667,0.0608254074945,0.0
0.171138648198,0.478981910998,0.0
0.72912679795,0.401617254513,1.0
0.163402493762,0.686097496062,0.0
0.379455441758,0.490268854144,1.0
0.989523350637,0.909700829115,1.0
0.639999759854,0.0734907157665,0.0
0.556949743775,0.0807904774108,0.0
0.68461425099,0.608297423633,1.0
0.84285192019,0.0656822333201,1.0
0.775999911546,0.275015999558,1.0
0.229048071964,0.633076724301,0.0
0.032100243904,0.548356434048,0.0
0.315453048059,0.325185443319,0.0
0.267740875976,0.994627755861,1.0
0.210982843586,0.530556837431,0.0
0.942909714335,0.453715417575,1.0
0.876367626473,0.605426791535,1.0
0.314677880798,0.099178461679,0.0
0.655438665295,0.701779418546,1.0
0.395631901061,0.852792737296,1.0
0.914547589741,0.650916664881,1.0
0.458851852587,0.768962730105,1.0
0.264880166498,0.720839916658,1.0
0.246627507694,0.215023066327,0.0
0.561368134163,0.451554915965,1.0
0.262741608523,0.228493574365,0.0
0.584585990224,0.338931618835,1.0
0.897822883602,0.453498902907,1.0
0.39940050514,0.415989650261,1.0
0.219320759157,0.0950858392756,0.0
0.997537606495,0.426764006261,1.0
0.509526293676,0.66510786306,1.0
0.0909094121738,0.374301023436,0.0
0.0471163754247,0.152638924769,0.0
0.109649130351,0.922985035734,1.0
0.627446041703,0.0671333081366,0.0
0.792079364363,0.831771888475,1.0
0.4221599668,0.0932301017037,0.0
0.063527706152,0.0965644325658,0.0
0.381619286507,0.738795998489,1.0
0.99612138024,0.811769285277,1.0
0.529114345099,0.556370735615,1.0
0.971078377614,0.586465082739,1.0
0.860779702234,0.561586413992,1.0
0.0114810219428,0.329645981416,0.0
0.72072181936,0.122231285355,0.0
0.681710369027,0.353598079634,1.0
0.536970330409,0.665340520003,1.0
0.266825189953,0.750284250251,1.0
0.64096179858,0.868092148869,1.0
0.111552173596,0.721060678746,0.0
0.434765250669,0.968398625311,1.0
0.453723706329,0.600410091225,1.0
0.953815927521,0.351646185693,1.0
0.875852940378,0.57791851839,1.0
0.263389050751,0.212738805672,0.0
0.50058611305,0.656736302988,1.0
0.17865188053,0.224244869108,0.0
0.912627839345,0.108218381927,1.0
0.870518569837,0.845373418601,1.0
0.298444791449,0.367561050615,0.0
0.638949494866,0.762605631937,1.0
0.608970211438,0.574100004331,1.0
0.15283926855,0.807221371152,1.0
0.762510800075,0.845155161328,1.0
0.53937903012,0.974546602126,1.0
0.778626478631,0.818426859541,1.0
0.530353672195,0.613573280535,1.0
0.000571896127944,0.64269916383,0.0
0.324156057005,0.0262538314536,0.0
0.0194767423858,0.929084290995,1.0
0.929098616265,0.82946078996,1.0
0.878721877823,0.267447725154,1.0
0.831665529361,0.180416071961,1.0
0.307514125403,0.702698772866,1.0
0.0579251664942,0.30898468883,0.0
0.878009599204,0.339824656777,1.0
0.946949445298,0.00610578940366,1.0
0.0856534520679,0.869862706536,1.0
0.485990463317,0.566321094761,1.0
0.0692125184684,0.400784344,0.0
0.760602165257,0.141874654151,0.0
0.765834429307,0.633172012656,1.0
0.1283914645,0.0306570983809,0.0
0.475282378099,0.746111762006,1.0
0.549803593495,0.215132880034,0.0
0.26505662894,0.419832493765,1.0
0.872433041085,0.340895981769,1.0
0.423137940201,0.370053092477,1.0
0.211798205442,0.721595967743,1.0
0.539296088779,0.776835619967,1.0
0.72993106909,0.567593556614,1.0
0.20115106339,0.0849570399772,0.0
0.311716291301,0.0526088264255,0.0
0.995149356661,0.157409897107,1.0
0.649878057639,0.617838181926,1.0
0.438100083915,0.673968710613,1.0
0.517575841036,0.272102843546,0.0
0.121004195868,0.661938692808,0.0
0.224697337032,0.485661704891,0.0
0.338085562147,0.442044186698,0.0
0.588308718457,0.273166844365,1.0
0.230114732597,0.754943143668,1.0
0.220217384452,0.11381750811,0.0
0.070993086009,0.429913633398,0.0
0.63110295727,0.28324647008,1.0
0.228941783811,0.67848625476,0.0
0.905420013006,0.486632753364,1.0
0.859635400254,0.667132558736,1.0
0.0708573498887,0.0454173626044,0.0
0.238004634369,0.395263396088,0.0
0.668977778296,0.599324956944,1.0
0.21423680737,0.00768708589988,0.0
0.132311848725,0.301419362018,0.0
0.935514240581,0.21123397922,1.0
0.571043093325,0.137234805257,0.0
0.472671026312,0.255519504021,0.0
0.784619424291,0.328122355938,1.0
0.807496997767,0.00772990656931,1.0
0.190409914362,0.74701412343,1.0
0.0969308142288,0.175694801876,0.0
0.431051182406,0.380207445715,1.0
0.42357862302,0.703671263383,1.0
0.467024668037,0.500262346556,1.0
0.72907584946,0.83335420242,1.0
0.673364547293,0.806200186567,1.0
0.984165211366,0.0720754965922,1.0
0.098417871152,0.861764362023,1.0
0.402621282102,0.0423022615628,0.0
0.339302605395,0.0187415365856,0.0
0.861672536353,0.921162434502,1.0
0.24865633392,0.862110013612,1.0
0.190208908441,0.575759160737,0.0
0.448613547833,0.573399680886,1.0
0.421881639834,0.709498961569,1.0
0.278545144667,0.417693959843,0.0
0.249806447882,0.115173372664,0.0
0.923265599276,0.0208565590247,1.0
0.443130745053,0.324768179446,0.0
0.861349104762,0.80132215431,1.0
0.55032531245,0.618125263304,1.0
0.0505883295249,0.832025913072,1.0
0.999282468413,0.919769751741,1.0
0.83602758508,0.0881298812979,1.0
0.968996257285,0.844484359815,1.0
0.926366983008,0.243316474823,1.0
